Internalid,Lab processing,Airtable technique,Sample type,Container name
8489,Cerba,Other,Serum,Serum Tube
6764,Cerba,Other,Serum,Serum Tube
5375,Cerba,Other,Tumoral Tissue,50mL Container
5049,Cerba,Other,Serum,Serum Tube
5089,Cerba,Other,Bone Marrow,EDTA Tube
7216,Cerba,Other,Serum,Serum Tube
6566,Cerba,Other,Serum,Serum Tube
6184,Cerba,Other,Serum,Serum Tube
8964,Cerba,Other,Whole Blood,EDTA Tube
6582,Cerba,Other,Serum,Serum Tube
5668,Cerba,Other,Serum,Serum Tube
6615,Cerba,Other,Serum,Serum Tube
4728,Cerba,Other,Serum,Serum Tube
9769,Cerba,Biochemistry,Serum,Serum Tube
3912,Diag,Microbiology,Cerebrospinal Fluid,Sterile Container
4334,Diag,Microbiology,Body Fluid,Sterile Swab/50mL Container
8275,Cerba,Other,Serum,Serum Tube
8890,Cerba,Other,Fresh Stool (+4°C),50mL Container
4619,Cerba,Other,Serum,Serum Tube
9483,Cerba,Other,Whole Blood,EDTA Tube
6880,Cerba,Other,Serum,Serum Tube
69588,Diag,Home Collection,,Others
8392,Cerba,Other,Whole Blood,EDTA Tube
7983,Cerba,Other,Whole Blood,EDTA Tube
4831,Cerba,Other,Serum,Serum Tube
10972,Diag,Non-lab Test,Others,Others
5075,Cerba,Other,Whole Blood,EDTA Tube
399515,Diag,Biochemistry,Plasma,Fluoride Tube
6190,Cerba,Other,Serum,Serum Tube
8867,Cerba,Other,Plasma,EDTA Tube
6788,Cerba,Other,Serum,Serum Tube
66888,Diag,Non-lab Test,,Others
9588,Cerba,Other,Amniotic Fluid,Sterile Container
9571,Cerba,Other,Serum,Serum Tube
3915,Diag,Microbiology,Nose Pus,50mL Sterile Container/Swab
7382,Cerba,Other,Plasma,EDTA Tube
7794,Cerba,Coagulation,Plasma,Citrate Tube
4186,Diag,Microbiology,Urethral Swab,Sterile Swab
4180,Diag,Microbiology,Eye Pus,Sterile Swab
7335,Cerba,Other,Serum,Serum Tube
4867,Medic,ELISA,Serum,Serum Tube
8485,Cerba,Other,Serum,Serum Tube
7220,Cerba,Other,Serum,Serum Tube
4892,Cerba,Other,Urine,50mL Container
6691,Cerba,Other,Serum,Serum Tube
4520,Cerba,Other,Whole Blood,EDTA Tube
4467,Cerba,Other,Plasma,EDTA Tube
8299,Cerba,Other,2nd Morning Urine,50mL Container
4162,Diag,Microbiology,Semen,Sterile Container
8087,Cerba,Other,Urine,50mL Container
5048,Cerba,Other,Serum,Serum Tube
9010,Cerba,Other,Plasma,Heparin Tube
4903,Cerba,Other,Whole Blood,EDTA Tube
4798,Cerba,Other,Serum,Serum Tube
4658,Cerba,Other,Whole Blood,EDTA Tube
4900,Cerba,Other,Serum,Serum Tube
8162,Cerba,Other,24h Urine,3L Container
6601,Cerba,Other,Serum,Serum Tube
158174,Diag,Non-lab Test,Others,Others
9801,Cerba,Other,Cerebrospinal Fluid,Sterile Container
6675,Cerba,Other,Serum,Serum Tube
3887,Diag,Microbiology,Eye Pus,Sterile Swab
4315,Diag,Microbiology,Pericardial Fluid,Sterile Swab
9391,Cerba,Other,Serum,Serum Tube
4550,Cerba,Other,Serum,Serum Tube
4230,Diag,Microbiology,"Sputum,Bronchoalveolar Lavage Fluid,Bronchial Secretions,Throat Swab",Sterile Container
5896,Cerba,Other,Serum,Serum Tube
9768,Cerba,Other,Stool,Stool Container
9016,Cerba,Other,Serum,Serum Tube
4944,Cerba,Other,Urine,50mL Container
3809,Diag,Microbiology,Semen,Sterile Container
4290,Diag,Microbiology,Pericardial Fluid,Sterile Swab
26516,Diag,Non-lab Test,,
6882,Cerba,Other,Whole Blood,EDTA Tube
5963,Cerba,Other,Serum,Serum Tube
3906,Diag,Microbiology,Pericardial Fluid,Sterile Swab
7307,Cerba,Other,Whole Blood,Heparin Tube
8303,Cerba,Other,Serum,Serum Tube
4214,Diag,Microbiology,Throat Swab,Sterile Swab
8685,Cerba,Other,Plasma,EDTA Tube
240398,Diag,Non-lab Test,Others,Others
7355,Cerba,Other,Bone Marrow,EDTA Tube
9038,Cerba,Other,Serum,Serum Tube
4748,Cerba,Other,Plasma,Heparin Tube
7100,Cerba,Biochemistry,Serum,Serum Tube
8374,Cerba,Other,Serum,Serum Tube
7087,Cerba,Other,Serum,Serum Tube
4610,Cerba,Other,Whole Blood,EDTA Tube
4699,Cerba,Other,Plasma,Heparin Tube
5467,Cerba,Other,Serum,Serum Tube
4190,Diag,Molecular,Others,Cell VTM (Thinprep)
4394,Cerba,Other,Whole Blood,EDTA Tube
4780,Cerba,Other,Serum,Serum Tube
4171,Diag,Microbiology,Semen,Sterile Container
9068,Cerba,Other,Fetal Blood,EDTA Tube
4188,Diag,Microbiology,Semen,Sterile Container
5176,Cerba,Other,Serum,Serum Tube
9584,Cerba,Other,Serum,Serum Tube
9784,Cerba,Other,Serum,Serum Tube
7062,Cerba,Other,Serum,Serum Tube
3861,Diag,Microbiology,Cerebrospinal Fluid,Sterile Container
6205,Diag,Microbiology,Pleural Fluid,Sterile Container
7093,Cerba,Other,Whole Blood,EDTA Tube
25306,Diag,Non-lab Test,,Others
6076,Cerba,Other,Serum,Serum Tube
8800,Cerba,Other,Serum,Serum Tube
9076,Cerba,Other,Whole Blood,Heparin Tube
4627,Cerba,Other,Plasma,Heparin Tube
7083,Cerba,Other,Night Urine,50mL Container
8877,Cerba,Other,Serum,Serum Tube
8674,Cerba,Other,Nasal Swab,Sterile Container
9863,Diag,Microbiology,Nose Pus,Sterile Swab
4440,Cerba,Other,Whole Blood,EDTA Tube
9176,Cerba,Other,Serum,Serum Tube
9872,Cerba,Other,Serum,Serum Tube
8593,Cerba,Other,Serum,Serum Tube
7792,Cerba,Other,Serum,Serum Tube
9585,Cerba,Other,Whole Blood,EDTA Tube
7320,Cerba,Other,Serum,Serum Tube
8481,Cerba,Other,Whole Blood,EDTA Tube
4902,Cerba,Other,Serum,Serum Tube
9308,Cerba,Other,Serum,Serum Tube
5899,Cerba,Other,Serum,Serum Tube
7338,Cerba,Other,Bone Marrow,EDTA Tube
4192,Diag,Microbiology,"Pus,Pus Abscess,Semen,Body Fluid",Sterile Swab/50mL Container
7173,Cerba,Other,Plasma,Heparin Tube
7269,Cerba,Other,Fresh Stool (+4°C),50mL Container
6224,Cerba,Other,Serum,Serum Tube
4721,Cerba,Other,Serum,Serum Tube
7570,Cerba,Other,Serum,Serum Tube
10899,Diag,Non-lab Test,Others,Others
8202,Cerba,Other,Serum,Serum Tube
8099,Cerba,Other,Whole Blood,EDTA Tube
7885,Cerba,Other,Whole Blood,EDTA Tube
7677,Cerba,Other,Amniotic Fluid,Sterile Container
4952,Cerba,Other,Serum,Serum Tube
4797,Cerba,Other,Serum,Serum Tube
7341,Cerba,Other,Urine,50mL Container
5867,Cerba,Other,Serum,Serum Tube
4210,Diag,Microbiology,Pericardial Fluid,Sterile Swab
7899,Cerba,Other,Plasma,EDTA Tube
9970,Diag,Microbiology,Urethral Swab,Sterile Swab
5062,Cerba,Other,Serum,Serum Tube
4734,Cerba,Other,Night Urine,50mL Container
1537,Diag,Biochemistry,24h Urine,3L Container
5475,Cerba,Other,Serum,Serum Tube
7964,Cerba,Other,Serum,Serum Tube
4635,Cerba,Other,Amniotic Fluid,Sterile Container
4626,Cerba,Other,Serum,Serum Tube
7967,Cerba,Other,Serum,Serum Tube
9462,Cerba,Biochemistry,Serum,Serum Tube
8697,Cerba,Other,Plasma,Heparin Tube
57035,Medic,Other,24h Urine,3L Container + Preservative
8776,Cerba,Other,Whole Blood,Heparin Tube
4812,Cerba,Other,Serum,Serum Tube
3814,Diag,Microbiology,Body Fluid,Sterile Swab/50mL Container
6176,Diag,Hematology,Whole Blood,EDTA Tube
6705,Cerba,Other,Serum,Serum Tube
398971,Medic,Other,Serum,Serum Tube
8781,Cerba,Other,Cerebrospinal Fluid,Sterile Container
5566,Cerba,Other,Serum,Serum Tube
6867,Cerba,Other,Serum,Serum Tube
9362,Cerba,Other,Cerebrospinal Fluid,Sterile Container
5112,Cerba,Other,Serum,Serum Tube
7356,Cerba,Other,Plasma,EDTA Tube
397483,Cerba,Other,2h Urine,3L Container
4185,Diag,Microbiology,Ear Pus,50mL Sterile Container/Swab
25312,Diag,Non-lab Test,,Others
6581,Cerba,Other,Serum,Serum Tube
3888,Diag,Microbiology,Semen,Sterile Container
34240,Diag,Microbiology,Peritoneal Fluid,Sterile Container
4385,Cerba,Biochemistry,Night Urine,50mL Container
4421,Medic,ELISA,Serum,Serum Tube
66288,Diag,Non-lab Test,,Others
9306,Cerba,Other,Urethral Swab,50mL Container
6222,Cerba,Other,Serum,Serum Tube
8106,Cerba,Other,Bone Marrow,Heparin Tube
7297,Cerba,Other,Serum,Serum Tube
400600,Cerba,Other,Others,Others
9882,Cerba,Other,Amniotic Fluid,Sterile Container
4811,Cerba,Other,Whole Blood,EDTA Tube
8090,Cerba,Other,2nd Morning Urine,50mL Container
7895,Cerba,Other,Saliva,Sterile Container
4802,Cerba,Other,Serum,Serum Tube
4954,Cerba,Other,Serum,Serum Tube
5767,Cerba,Other,Serum,Serum Tube
6763,Cerba,Other,Serum,Serum Tube
9780,Cerba,Other,Serum,Serum Tube
4974,Cerba,Other,Serum,Serum Tube
7970,Cerba,Other,Whole Blood,EDTA Tube
3933,Diag,Microbiology,Eye Pus,Sterile Swab
7168,Cerba,Other,Serum,Serum Tube
9495,Cerba,Other,Serum,Serum Tube
4496,Cerba,Other,Serum,Serum Tube
4499,Cerba,Other,Nasal Swab,Sterile Container
8764,Cerba,Other,Serum,Serum Tube
3811,Diag,Microbiology,Throat Swab,Sterile Swab
6762,Cerba,Other,Serum,Serum Tube
5463,Cerba,Other,Serum,Serum Tube
4637,Cerba,Other,Urine,50mL Container
4588,Medic,Other,Serum,Serum Tube
400011,Diag,Non-lab Test,,
6228,Cerba,Other,Serum,Serum Tube
10868,Diag,Non-lab Test,Others,Others
4656,Cerba,Other,Bronchoalveolar Lavage Fluid,Sterile Container
5076,Cerba,Other,Serum,Serum Tube
9020,Cerba,Other,Serum,Serum Tube
6572,Cerba,Other,Serum,Serum Tube
4783,Cerba,Other,Serum,Serum Tube
5279,Cerba,Other,Serum,Serum Tube
5473,Cerba,Other,Serum,Serum Tube
5019,Cerba,Other,Serum,Serum Tube
10967,Diag,Non-lab Test,Others,Others
4598,Cerba,Other,Plasma,EDTA Tube
7282,Cerba,Other,Serum,Serum Tube
9183,Cerba,Other,Serum,Serum Tube
6974,Cerba,Other,Serum,Serum Tube
9800,Cerba,Other,Cerebrospinal Fluid,Sterile Container
9191,Cerba,Other,Serum,Serum Tube
6230,Cerba,Other,Serum,Serum Tube
4444,Cerba,Other,Whole Blood,EDTA Tube
8990,Cerba,Other,Night Urine,50mL Container
3919,Diag,Molecular,Urine,Sterile Container
4844,Cerba,Other,Whole Blood,EDTA Tube
9276,Cerba,Other,Whole Blood,EDTA Tube
7327,Cerba,Other,Bone Marrow,EDTA Tube
5084,Cerba,Other,Serum,Serum Tube
400262,Cerba,Other,Others,Others
8886,Cerba,Other,Serum,Serum Tube
3788,Diag,Microbiology,Pericardial Fluid,Sterile Swab
7472,Cerba,Other,Serum,Serum Tube
6704,Cerba,Other,Serum,Serum Tube
7671,Cerba,Other,Whole Blood,Heparin Tube
8782,Cerba,Other,Urine,50mL Container
4894,Cerba,Other,Serum,Serum Tube
166196,Medic,Other,Serum,Serum Tube
9392,Cerba,Other,Plasma,EDTA Tube
6863,Cerba,Other,Tumoral Tissue,50mL Container
401534,Diag,Non-lab Test,,
26514,Diag,Non-lab Test,,
9799,Cerba,Other,Serum,Serum Tube
7974,Cerba,Other,Serum,Serum Tube
8294,Cerba,Other,Night Urine,50mL Container
6631,Cerba,Other,Serum,Serum Tube
4576,Cerba,Other,Serum,Serum Tube
9876,Cerba,Other,Serum,Serum Tube
399264,Medic,Other,Others,Others
400740,Diag,Non-lab Test,,
400535,Cerba,Other,Tear,Sterile Container
4386,Cerba,Other,Whole Blood,EDTA Tube
4521,Medic,Other,Peritoneal Fluid,Sterile Container
11013,Diag,Non-lab Test,,Others
5088,Cerba,Molecular,Urine,50mL Container
7695,Cerba,Other,Serum,Serum Tube
6774,Cerba,Other,Serum,Serum Tube
5118,Cerba,Other,Serum,Serum Tube
8492,Cerba,Other,Plasma,EDTA Tube
5967,Cerba,Other,Serum,Serum Tube
6595,Cerba,Other,Serum,Serum Tube
7982,Cerba,Other,Serum,Serum Tube
6567,Cerba,Other,Serum,Serum Tube
9323,Cerba,Other,Serum,Serum Tube
8170,Cerba,Other,Bone Marrow,EDTA Tube
5074,Cerba,Other,Serum,Serum Tube
401726,Diag,Non-lab Test,,
9324,Cerba,Other,Serum,Serum Tube
6694,Cerba,Other,Serum,Serum Tube
5059,Cerba,Other,Serum,Serum Tube
9596,Cerba,Other,Pus,Sterile Container
4821,Cerba,Other,24h Urine,3L Container
8493,Cerba,Other,Plasma,Heparin Tube
399190,Cerba,Other,Others,Others
5265,Cerba,Other,Serum,Serum Tube
5766,Cerba,Other,Serum,Serum Tube
153258,Diag,Molecular,Nasopharynx Sample,ABT VTM  2mL
8396,Cerba,Other,Urine,50mL Container
7090,Cerba,Other,Plasma,Heparin Tube
4282,Diag,Microbiology,Eye Pus,Sterile Swab
7089,Cerba,Other,Plasma,Heparin Tube
8164,Cerba,Other,Bone Marrow,EDTA Tube
4685,Cerba,Other,Serum,Serum Tube
9968,Cerba,Other,Serum,Serum Tube
9277,Cerba,Other,Serum,Serum Tube
4983,Medic,Other,Serum,Serum Tube
3789,Diag,Microbiology,Ear Pus,50mL Sterile Container/Swab
9288,Cerba,Other,Serum,Serum Tube
6062,Cerba,Other,Serum,Serum Tube
34538,Medic,Other,Peritoneal Fluid,Sterile Container
8773,Cerba,Other,Plasma,EDTA Tube
8302,Cerba,Other,Serum,Serum Tube
9778,Cerba,Other,Serum,Serum Tube
5574,Cerba,Other,Serum,Serum Tube
6780,Cerba,Biochemistry,Serum,Serum Tube
9037,Cerba,Other,Serum,Serum Tube
6888,Cerba,Other,Serum,Serum Tube
4563,Cerba,Other,Bone Marrow,EDTA Tube
7381,Cerba,Other,Serum,Serum Tube
401627,Diag,Non-lab Test,,
8676,Cerba,Other,Serum,Serum Tube
5083,Cerba,Other,Serum,Serum Tube
3844,Diag,Microbiology,Pleural Fluid,Sterile Container
7198,Cerba,Other,Whole Blood,EDTA Tube
6682,Cerba,Other,Serum,Serum Tube
9023,Cerba,Other,Serum,Serum Tube
5038,Cerba,Other,Serum,Serum Tube
6612,Cerba,Other,Serum,Serum Tube
196146,Medic,Other,Cerebrospinal Fluid,Sterile Container
4988,Cerba,Other,Plasma,EDTA Tube
9677,Cerba,Other,Serum,Serum Tube
9697,Cerba,Other,Whole Blood,EDTA Tube
9668,Cerba,Other,Serum,Serum Tube
6876,Cerba,Other,Serum,Serum Tube
7251,Cerba,Other,Serum,Serum Tube
7186,Cerba,Other,Whole Blood,EDTA Tube
4930,Cerba,Other,Cerebrospinal Fluid,Sterile Container
8668,Cerba,Other,Serum,Serum Tube
6966,Cerba,Other,Serum,Serum Tube
9293,Cerba,Other,Serum,Serum Tube
7774,Cerba,Other,Serum,Serum Tube
9598,Cerba,Other,Serum,Serum Tube
4962,Cerba,Other,Whole Blood,EDTA Tube
8301,Cerba,Other,Stool,Stool Container
5217,Cerba,Other,Serum,Serum Tube
7669,Cerba,Other,Whole Blood,EDTA Tube
8468,Cerba,Other,Bronchoalveolar Lavage Fluid,Sterile Container
4898,Cerba,Other,Serum,Serum Tube
9589,Cerba,Other,Plasma,EDTA Tube
4582,Cerba,Other,Serum,Serum Tube
3913,Diag,Home Collection,,Others
1513,Diag,Biochemistry,24h Urine,3L Container + Preservative
9303,Cerba,Other,Serum,Serum Tube
4572,Cerba,Other,Whole Blood,EDTA Tube
7011,Cerba,Other,Whole Blood,EDTA Tube
8682,GC Labs,Other,Plasma,EDTA Tube
4565,Cerba,Other,Serum,Serum Tube
9033,Cerba,Other,Serum,Serum Tube
8992,Cerba,Other,Amniotic Fluid,Sterile Container
5863,Cerba,Other,Serum,Serum Tube
8582,Cerba,Other,Whole Blood,EDTA Tube
8067,Cerba,Other,24h Urine,3L Container
6967,Cerba,Other,Serum,Serum Tube
4936,Cerba,Other,Serum,Serum Tube
8973,Cerba,Other,Serum,Serum Tube
4285,Diag,Microbiology,Nose Pus,Sterile Swab
130431,Diag,Non-lab Test,Others,Others
4885,Medic,ELISA,Serum,Serum Tube
6703,Cerba,Other,Serum,Serum Tube
4967,Cerba,Other,Serum,Serum Tube
7085,Cerba,Other,Urine,50mL Container
6586,Cerba,Other,Serum,Serum Tube
10999,SNIOSH,Non-lab Test,,
4553,Cerba,Other,Bronchoalveolar Lavage Fluid,Sterile Container
5198,Cerba,Other,Plasma,EDTA Tube
9005,Cerba,Other,Serum,Serum Tube
3845,Diag,Microbiology,"Hair,Nail,Skin,Others","Petri Dish,Sterile Container"
9315,Cerba,Other,Serum,Serum Tube
8575,Cerba,Other,Serum,Serum Tube
7687,Cerba,Other,Serum,Serum Tube
7587,Cerba,Other,Whole Blood,EDTA Tube
5172,Cerba,Other,Serum,Serum Tube
11664,Diag,Microbiology,Pericardial Fluid,Sterile Swab
9337,Cerba,Other,Serum,Serum Tube
10969,Diag,Non-lab Test,Others,Others
9299,Cerba,Other,Serum,Serum Tube
5010,Cerba,Other,Serum,Serum Tube
401723,Diag,Non-lab Test,,
6200,Diag,Molecular,Others,Others
8566,Cerba,Other,Night Urine,50mL Container
204161,Gentis,Non-lab Test,Others,Others
9031,Cerba,Other,Serum,Serum Tube
8868,Cerba,Other,Serum,Serum Tube
10963,Diag,Non-lab Test,,Others
10876,Diag,Non-lab Test,Others,Others
5092,Cerba,Other,Serum,Serum Tube
7317,Cerba,Other,Bone Marrow,EDTA Tube
7910,Cerba,Other,Serum,Serum Tube
3837,Diag,Microbiology,Others,Sterile Container
4806,Cerba,Other,Serum,Serum Tube
397551,Diag,Biochemistry,Urine,50mL Container
174707,GC Labs,Other,Cerebrospinal Fluid,Sterile Container
4755,Cerba,Other,Whole Blood,EDTA Tube
11023,Diag,Non-lab Test,Others,Others
5032,Cerba,Other,Serum,Serum Tube
4608,Cerba,Biochemistry,Serum,Serum Tube
9347,Cerba,Other,Serum,Serum Tube
168200,Diag,Non-lab Test,,Others
8394,Cerba,Other,Serum,Serum Tube
8271,Cerba,Other,Serum,Serum Tube
7165,Cerba,Other,Serum,Serum Tube
7869,Cerba,Other,Nasal Swab,Sterile Container
6765,Cerba,Other,Serum,Serum Tube
4779,Cerba,Other,Serum,Serum Tube
4078,Diag,Microbiology,Throat Swab,Sterile Swab
5193,Cerba,Other,Serum,Serum Tube
4866,Cerba,Other,Serum,Serum Tube
10870,Diag,Non-lab Test,Others,Others
6229,Cerba,Other,Serum,Serum Tube
8884,Cerba,Other,Serum,Serum Tube
10902,Diag,Non-lab Test,,Others
4815,Cerba,Other,Amniotic Fluid,Sterile Container
26517,Diag,Non-lab Test,,
4283,Diag,Microbiology,Ear Pus,50mL Sterile Container/Swab
6605,Cerba,Other,Serum,Serum Tube
8803,Cerba,Other,Serum,Serum Tube
6619,Cerba,Other,Whole Blood,EDTA Tube
4741,Cerba,Other,Slides,50mL Container
4586,Cerba,Other,Whole Blood,EDTA Tube
10878,Diag,Non-lab Test,,Others
3862,Diag,Microbiology,Pleural Fluid,Sterile Container
6208,Diag,Microbiology,Stool,Stool Container
8083,Cerba,Other,24h Urine,3L Container
7594,Cerba,Other,5h Urine,3L Container
10918,Diag,Non-lab Test,Others,Others
4242,Diag,Microbiology,"Sputum,Bronchoalveolar Lavage Fluid,Bronchial Secretions,Throat Swab",Sterile Container
6686,Cerba,Other,Stool,Stool Container
6877,Cerba,Other,Serum,Serum Tube
9696,Cerba,Other,Serum,Serum Tube
8774,Cerba,Other,Whole Blood,EDTA Tube
9675,Cerba,Other,Serum,Serum Tube
9787,Cerba,Other,Plasma,EDTA Tube
6889,Cerba,Other,Serum,Serum Tube
10162,Diag,Microbiology,Pericardial Fluid,Sterile Swab
3773,Diag,Microbiology,Pericardial Fluid,Sterile Container
4398,Medic,Other,Serum,Serum Tube
4810,Cerba,Other,Serum,Serum Tube
85194,Diag,Non-lab Test,,Others
4836,Cerba,Other,Serum,Serum Tube
7344,Cerba,Other,Serum,Serum Tube
1625,Cerba,Other,Others,Others
4457,Medic,ELISA,Serum,Serum Tube
8871,Cerba,Other,Serum,Serum Tube
4887,Medic,Other,Peritoneal Fluid,Sterile Container
26611,Diag,Non-lab Test,,
11022,Diag,Non-lab Test,Others,Others
4645,Cerba,Other,Serum,Serum Tube
5124,Cerba,Other,Serum,Serum Tube
7277,Cerba,Other,Serum,Serum Tube
6771,Cerba,Other,Serum,Serum Tube
8181,Cerba,Other,Plasma,EDTA Tube
7362,Cerba,Other,Serum,Serum Tube
6077,Cerba,Other,Serum,Serum Tube
9064,Cerba,Other,Serum,Serum Tube
5884,Cerba,Other,Serum,Serum Tube
9990,Cerba,Other,Cerebrospinal Fluid,Sterile Container
4697,Cerba,Other,Serum,Serum Tube
9368,Cerba,Other,Serum,Serum Tube
6585,Cerba,Other,Serum,Serum Tube
9265,Cerba,Other,Serum,Serum Tube
8474,Cerba,Other,Whole Blood,EDTA Tube
5035,Cerba,Other,Slides,50mL Container
399798,Cerba,Other,Others,Others
4791,Cerba,Other,Serum,Serum Tube
3818,Diag,Microbiology,"Pus,Pus Abscess,Semen,Body Fluid",Sterile Swab/50mL Container
7912,Cerba,Other,Serum,Serum Tube
5192,Cerba,Other,Fetal Plasma,EDTA Tube
7375,Cerba,Other,Serum,Serum Tube
204079,Medic,Biochemistry,Body Fluid,Sterile Container
4792,Cerba,Other,Lymph Node Puncture,Sterile Container
399978,Diag,Non-lab Test,,
8580,Cerba,Other,Plasma,Citrate Tube
9395,Cerba,Other,Urine,50mL Container
3959,Diag,Microbiology,Cerebrospinal Fluid,Sterile Container
6982,Cerba,Other,Serum,Serum Tube
8203,Cerba,Other,Fresh Stool (+4°C),50mL Container
6221,Cerba,Other,Serum,Serum Tube
400559,Cerba,Other,Others,Others
9014,Cerba,Other,Serum,Serum Tube
7968,Cerba,Other,Serum,Serum Tube
5890,Cerba,Other,Serum,Serum Tube
9683,Cerba,Other,Serum,Serum Tube
4079,Cerba,Other,Others,Sterile Container
9579,Cerba,Other,Night Urine,50mL Container
39659,Diag,Biochemistry,Serum,Serum Tube
4756,Cerba,Other,Pus,Sterile Container
6886,Cerba,Other,Serum,Serum Tube
8586,Cerba,Other,Serum,Serum Tube
9004,Cerba,Other,Serum,Serum Tube
25305,Diag,Non-lab Test,,Others
4966,Cerba,Other,Urine,50mL Container
4743,Cerba,Other,Slides,50mL Container
7864,Cerba,Other,Serum,Serum Tube
7300,Cerba,Other,Whole Blood,EDTA Tube
4942,Cerba,Other,2nd Morning Urine,50mL Container
4482,Cerba,Other,Serum,Serum Tube
401720,Diag,Non-lab Test,,
9776,Cerba,Other,Plasma,EDTA Tube
4795,Cerba,Other,Urine,50mL Container
4696,Cerba,Other,Night Urine,50mL Container
26512,Diag,Non-lab Test,,
4384,Cerba,Other,Plasma,EDTA Tube
8172,Cerba,Other,Serum,Serum Tube
7346,Cerba,Other,Serum,Serum Tube
4004,Diag,Molecular,Stool,Stool Container
399250,Diag,Non-lab Test,,
171701,Diag,Molecular,Semen,Sterile Container
6629,Cerba,Other,Bone Marrow,EDTA Tube
7218,Cerba,Other,Serum,Serum Tube
5044,Cerba,Other,Serum,Serum Tube
6204,Diag,Microbiology,"Pus,Pus Abscess,Semen,Body Fluid",50mL Sterile Container/Swab
9563,Cerba,Other,Serum,Serum Tube
8894,Cerba,Other,Seminal Fluid,Sterile Container
8391,Cerba,Other,Whole Blood,EDTA Tube
9678,Cerba,Other,Serum,Serum Tube
7582,Cerba,Other,Serum,Serum Tube
7065,Cerba,Other,Serum,Serum Tube
5274,Cerba,Other,Serum,Serum Tube
6787,Cerba,Other,Serum,Serum Tube
400974,Cerba,Other,Others,Others
3828,Diag,Microbiology,Ear Pus,Sterile Swab
7067,Cerba,Other,Serum,Serum Tube
7372,Cerba,Biochemistry,Serum,Serum Tube
10977,Diag,Non-lab Test,,Others
4001,Diag,Molecular,Bronchoalveolar Lavage Fluid,Sterile Container
5975,Cerba,Other,Serum,Serum Tube
3802,Diag,Microbiology,Ear Pus,Sterile Swab
5878,Cerba,Other,Serum,Serum Tube
6268,Cerba,Other,Serum,Serum Tube
41163,Diag,Non-lab Test,,Others
177015,GC Labs,Biochemistry,Serum,Serum Tube
5210,Cerba,Other,Serum,Serum Tube
10867,Diag,Non-lab Test,Others,Others
4068,Diag,Microbiology,"Pus,Pus Abscess,Semen,Body Fluid",Sterile Swab/50mL Container
9468,Cerba,Other,Serum,Serum Tube
4296,Diag,Microbiology,Body Fluid,Sterile Swab/50mL Container
4796,Cerba,Other,Serum,Serum Tube
5072,Cerba,Other,Serum,Serum Tube
6996,Cerba,Other,Serum,Serum Tube
4273,Diag,Microbiology,Urethral Swab,Sterile Swab
41263,Diag,Non-lab Test,,Others
9074,Cerba,Other,Whole Blood,EDTA Tube
5178,Cerba,Other,Serum,Serum Tube
399610,Diag,Non-lab Test,,
7981,Cerba,Other,24h Urine,3L Container
9013,Cerba,Other,Plasma,EDTA Tube
4483,Cerba,Other,Serum,Serum Tube
400547,Cerba,Other,Others,Others
4852,Cerba,Other,24h Urine,3L Container
9307,Cerba,Other,Serum,Serum Tube
400399,Cerba,Other,Others,Others
8701,Cerba,ELISA,Serum,Serum Tube
5066,Cerba,Other,Serum,Serum Tube
4770,Cerba,Other,Serum,Serum Tube
9987,Cerba,Other,Serum,Serum Tube
9785,Cerba,Other,Serum,Serum Tube
7963,Cerba,Other,Serum,Serum Tube
3768,Diag,Microbiology,Urine,Sterile Container
4578,Cerba,Other,Serum,Serum Tube
9369,Cerba,Other,Urine,50mL Container
6191,Diag,Microbiology,Gastric Fluid,Sterile Container
399347,Cerba,Other,Others,Others
6207,Diag,Microbiology,Sputum,Sterile Container
9982,Cerba,Other,Serum,Serum Tube
5662,Cerba,Other,Serum,Serum Tube
10864,Diag,Non-lab Test,,Others
8597,Cerba,Other,Cerebrospinal Fluid,Sterile Container
9271,Cerba,Other,Amniotic Fluid,Sterile Container
7978,Cerba,Other,Serum,Serum Tube
8769,Cerba,Other,Serum,Serum Tube
4853,Cerba,Other,Serum,Serum Tube
399142,Cerba,Other,Whole Blood,Heparin Tube
4413,Medic,Other,Serum,Serum Tube
5033,Cerba,Other,Serum,Serum Tube
10900,Diag,Non-lab Test,,Others
8997,Cerba,Other,Serum,Serum Tube
6669,Cerba,Other,Plasma,Citrate Tube
6712,Cerba,Other,Serum,Serum Tube
5762,Cerba,Other,Serum,Serum Tube
4827,Cerba,Other,Serum,Serum Tube
7689,Cerba,Other,Serum,Serum Tube
8482,Cerba,Other,Serum,Serum Tube
34139,Diag,Microbiology,Peritoneal Fluid,Sterile Container
6709,Cerba,Other,Serum,Serum Tube
5041,Cerba,Other,Serum,Serum Tube
9286,Cerba,Other,Serum,Serum Tube
9568,Cerba,Other,Stone,50mL Container
5976,Cerba,Other,Serum,Serum Tube
6673,Cerba,Other,Serum,Serum Tube
7868,Cerba,Other,Serum,Serum Tube
9021,Cerba,Other,Serum,Serum Tube
7886,Cerba,Other,Articular Fluid,Sterile Container
9169,Cerba,Other,Serum,Serum Tube
6874,Cerba,Other,Serum,Serum Tube
3942,Diag,Microbiology,Cerebrospinal Fluid,Sterile Container
4182,Diag,Immunology,Serum,Serum Tube
8874,Cerba,Other,Serum,Serum Tube
7591,Cerba,Other,Serum,Serum Tube
9679,Cerba,Other,Serum,Serum Tube
4676,Cerba,Other,Whole Blood,EDTA Tube
